0,64.891
1,56.083
2,66.525
3,74.675
4,108.4
5,50.275
6,93.075
7,44.941
8,81.783
9,33.191
10,52.8
11,30.15
12,101
13,24.45
14,30.583
15,38.916
16,96.841
17,63.65
18,92.15
19,58.591
20,104.325
21,35.383
22,53.525
23,38.025
24,91.55
25,41.95
26,39.833
27,40.65
28,43.116
29,46.408
30,70.325
31,52.9
32,55.275
33,61.5
34,94.858
35,70.558
36,50.75
37,32.225
38,57.058
39,48.25
40,121.85
41,62.166
42,63.441
43,54.908
44,48.941
45,50.583
46,51.491
47,52.308
48,94.375
49,125.533
50,81.708
51,66.666
52,84.35
53,85.533
54,61.6
55,56.458
56,41.141
57,45.808
58,70.55
59,54.958
60,36.983
61,22.858
62,40.725
63,45.941
64,39.425
65,42.9
66,49.766
67,44.9
68,55.525
69,74.308
70,63.666
71,63.475
72,58.7
73,30.458
74,33.2
75,124.4
76,47.391
77,82.491
78,59.016
79,33.433
80,57.716
81,85.575
82,65.033
83,60.35
84,63.733
85,56.483
86,119.633
87,54.45
88,26.3
89,75.791
90,51.858
91,40.758
92,40.108
93,48.808
94,26.341
95,47.783
96,48.05
97,67.933
98,71.591
99,58.658
100,43.066
101,43.425
102,42.041
103,43.225
104,32.4
105,47.15
106,71.8
107,71.516
108,82.6
109,30.433
110,36.475
111,41.875
112,72.941
113,97.591
114,62.658
115,56.966
116,53.75
117,40.175
118,43.558
119,50.241
120,83.966
121,24.1
122,23.725
123,62.491
124,46.533
125,115.275
126,36.983
127,60.716
128,41.55
129,30.45
130,25.583
131,48.125
132,89.458
133,47.558
134,48.191
135,45.891
136,28.1
137,55.041
138,45.958
139,49.25
140,58.5
141,31.816
142,61.325
143,120.991
144,111.175
145,71.475
146,49.558
147,63.85
148,53.391
149,73.366
150,44.3
151,64.366
152,41.716
153,41.891
154,58.2
155,57.458
156,45.808
157,49.65
158,60.183
159,49.45
160,39.358
161,56.766
162,28.158
163,71.783
164,132
165,75.983
166,47.925
167,47
168,54.325
169,57.891
170,58.891
171,85.558
172,92.7
173,73.533
174,101.208
175,75.075
176,50.591
177,27.025
178,34.35
179,46.441
180,55.966
181,27.45
182,18.55
183,34.675
184,107.633
185,58.216
186,50.508
187,46.283
188,55.625
189,56.991
190,64.866
191,65.316
192,98.308
193,59.066
194,108.741
195,45.758
196,102.491
197,88.916
198,43.9
199,52.508
200,49.566
201,60.833
202,45.516
203,77.958
204,46.966
205,27.25
206,48.783
207,69.95
208,141.35
209,41.516
210,47.65
211,35.908
212,30.766
213,54.041
214,41.933
215,54.208
216,29.45
217,39.983
218,113.675
219,81.675
220,62.05
221,134.55
222,53.691
223,63.4
224,79.8
225,62.008
226,97.016
227,40.816
228,53.091
229,72.7
230,60.408
231,32.716
232,125.2
233,152.6
234,67.891
235,72.1
236,106.741
237,51.733
238,62.45
239,74.45
240,72.791
241,59.491
242,107.241
243,60.025
244,44.616
245,92.091
246,38
247,89.691
248,108.475
249,82.25
250,53.183
251,49.966
252,33
253,27.858
254,93.666
255,31.6
256,55.791
257,22.691
258,58.708
259,32.758
260,51.541
261,43.466
262,68.941
263,63.983
264,50.5
265,55.075
266,22.433
267,33.333
268,55.691
269,30.841
270,55.125
271,23.491
272,61.25
273,44.925
274,73.333
275,55.633
276,70.108
277,61.116
278,48.458
279,106.016
280,41.383
281,85.925
282,61.441
283,120.283
284,77.375
285,27.866
286,58.291
287,46.091
288,51.95
289,48.091
290,35.066
291,33.133
292,49.533
293,22.208
294,148.883
295,98.641
296,62.608
297,61.866
298,52.05
299,40.491
300,115.1
301,25.35
302,107.566
303,61.633
304,49.891
305,47.316
306,39.425
307,61.233
308,94.408
309,43.433
310,40.858
311,25.541
312,88.875
313,45.05
314,59.25
315,71.8
316,43.191
317,28.608
318,33.55
319,29.508
320,40.683
321,61.483
322,95.483
323,54.316
324,54.583
325,43.666
326,37.791
327,17.983
328,51.525
329,27.5
330,37.3
331,39.95
332,27.291
333,77.7
334,89.7
335,39.458
336,36.241
337,23.858
338,32.008
339,65.733
340,55.55
341,39.316
342,65.8
343,52.041
344,43.875
345,75.675
346,49.266
347,70.708
348,38.066
349,48.141
350,49.05
351,67.466
352,49.308
353,72.583
354,56.35
355,22.516
356,67.7
357,38.45
358,47.608
359,49.158
360,49.241
361,39.241
362,56.008
363,47.75
364,64.7
365,71.566
366,59.366
367,62.291
368,36.891
369,54.666
370,31.925
371,88.566
372,93.233
373,50.416
374,78.641
375,48.016
376,28.025
377,27.283
378,77.6
379,61.55
380,50.816
381,88.3
382,51.991
383,38.233
384,83.6
385,33.358
386,58.466
387,127.483
388,108.133
389,59.083
390,60.816
391,57.416
392,79.408
393,80.775
394,80.033
395,69.575
396,72.958
397,109.983
398,39.575
399,47.725
400,54.041
401,60.816
402,62
403,26.333
404,24.216
405,62.25
406,38.591
407,42.983
408,110.258
409,48.375
410,29.85
411,34.7
412,53.575
413,28.175
414,135.966
415,74.725
416,62.433
417,44.458
418,40.691
419,27.575
420,49.383
421,23.708
422,34.975
423,57.608
424,43.941
425,25.05
426,125.875
427,116.241
428,48.4
429,48.116
430,115.208
431,53.05
432,37
433,38.091
434,49.266
435,28.816
436,68.958
437,52.175
438,63.808
439,68.658
440,48.666
441,94.675
442,28.483
443,45.983
444,52.575
445,42.483
446,80.058
447,69.875
448,110.75
449,57.116
450,49.225
451,21.625
452,65.341
453,48.466
454,57.991
455,42.583
456,90.333
457,61.541
458,83.625
459,60.058
460,51.708
461,64.991
462,24.741
463,29.408
464,83.941
465,83.291
466,96.941
467,51.191
468,120.391
469,20.558
470,18.991
471,135.125
472,114.125
473,33.175
474,75.058
475,38.933
476,44.425
477,32.316
478,70.716
479,46.508
480,62.633
481,39.066
482,107.625
483,102.116
484,71.125
485,69.008
486,51.583
487,50.75
488,78.7
489,66.591
490,30.466
491,25.783
492,51.258
493,58.583
494,68.291
495,49.675
496,27.025
497,27.475
498,29.116
499,12.241
500,101.516
501,52.466
502,56.858
503,64.733
504,81.408
505,69.575
506,50.133
507,91.558
508,49.566
509,56.525
510,129.941
511,57.791
512,56.316
513,49.616
514,48.325
515,58.583
516,41.341
517,61.591
518,60.85
519,51.216
520,76.508
521,65.225
522,41.016
523,47.516
524,41.458
525,28.708
526,73.25
527,45.65
528,57.375
529,30.6
530,51.766
531,62.025
532,75.125
533,41.016
534,37.8
535,110.483
